image_path,true_label,predicted_label,prob_no_action,prob_action
data/stage2/train/no_action/img009.png,no_action,no_action,0.682241,0.317759
data/stage2/train/no_action/img010.png,no_action,no_action,0.642351,0.357649
data/stage2/train/no_action/img012.png,no_action,no_action,0.655416,0.344584
data/stage2/train/no_action/img013.png,no_action,no_action,0.818655,0.181345
data/stage2/train/no_action/img014.png,no_action,no_action,0.948446,0.051554
data/stage2/train/no_action/img015.png,no_action,no_action,0.935831,0.064169
data/stage2/train/no_action/img016.png,no_action,no_action,0.876979,0.123021
data/stage2/train/no_action/img017.png,no_action,no_action,0.955237,0.044763
data/stage2/train/no_action/img018.png,no_action,no_action,0.916285,0.083715
data/stage2/train/no_action/img019.png,no_action,no_action,0.905326,0.094674
data/stage2/train/no_action/img020.png,no_action,no_action,0.821057,0.178943
data/stage2/train/no_action/img021.png,no_action,no_action,0.663139,0.336861
data/stage2/train/no_action/img022.png,no_action,no_action,0.638497,0.361503
data/stage2/train/no_action/img027.png,no_action,no_action,0.815106,0.184894
data/stage2/train/no_action/img028.png,no_action,no_action,0.894809,0.105191
data/stage2/train/no_action/img033.png,no_action,no_action,0.892307,0.107693
data/stage2/train/no_action/img034.png,no_action,no_action,0.819063,0.180937
data/stage2/train/no_action/img038.png,no_action,no_action,0.738574,0.261426
data/stage2/train/no_action/img039.png,no_action,no_action,0.859898,0.140102
data/stage2/train/no_action/img040.png,no_action,no_action,0.890327,0.109673
data/stage2/train/no_action/img041.png,no_action,no_action,0.896581,0.103419
data/stage2/train/no_action/img042.png,no_action,no_action,0.794046,0.205954
data/stage2/train/no_action/img043.png,no_action,no_action,0.918404,0.081596
data/stage2/train/no_action/img044.png,no_action,no_action,0.871776,0.128224
data/stage2/train/no_action/img045.png,no_action,no_action,0.952464,0.047536
data/stage2/train/no_action/img048.png,no_action,no_action,0.914287,0.085713
data/stage2/train/no_action/img049.png,no_action,no_action,0.923644,0.076356
data/stage2/train/no_action/img050.png,no_action,no_action,0.918226,0.081774
data/stage2/train/no_action/img051.png,no_action,no_action,0.857709,0.142291
data/stage2/train/no_action/img052.png,no_action,no_action,0.851438,0.148562
data/stage2/train/no_action/img054.png,no_action,no_action,0.759879,0.240121
data/stage2/train/no_action/img055.png,no_action,no_action,0.817513,0.182487
data/stage2/train/no_action/img056.png,no_action,no_action,0.911911,0.088089
data/stage2/train/no_action/img057.png,no_action,no_action,0.712314,0.287686
data/stage2/train/no_action/img058.png,no_action,no_action,0.665644,0.334356
data/stage2/train/no_action/img062.png,no_action,no_action,0.877564,0.122436
data/stage2/train/no_action/img063.png,no_action,no_action,0.910272,0.089728
data/stage2/train/no_action/img067.png,no_action,no_action,0.740857,0.259143
data/stage2/train/no_action/img072.png,no_action,no_action,0.782226,0.217774
data/stage2/train/no_action/img073.png,no_action,no_action,0.768341,0.231659
data/stage2/train/no_action/img074.png,no_action,no_action,0.610539,0.389461
data/stage2/train/no_action/img081.png,no_action,no_action,0.655323,0.344677
data/stage2/train/action_required/img001.png,action_required,action_required,0.219696,0.780304
data/stage2/train/action_required/img002.png,action_required,action_required,0.154373,0.845626
data/stage2/train/action_required/img003.png,action_required,action_required,0.189741,0.810259
data/stage2/train/action_required/img004.png,action_required,action_required,0.127807,0.872193
data/stage2/train/action_required/img005.png,action_required,action_required,0.154156,0.845844
data/stage2/train/action_required/img006.png,action_required,action_required,0.158761,0.841239
data/stage2/train/action_required/img007.png,action_required,action_required,0.306571,0.693429
data/stage2/train/action_required/img008.png,action_required,action_required,0.372062,0.627938
data/stage2/train/action_required/img030.png,action_required,action_required,0.136184,0.863816
data/stage2/train/action_required/img031.png,action_required,action_required,0.1984,0.8016
data/stage2/train/action_required/img032.png,action_required,action_required,0.2839,0.7161
data/stage2/train/action_required/img046.png,action_required,action_required,0.323812,0.676188
data/stage2/train/action_required/img047.png,action_required,action_required,0.37235,0.62765
data/stage2/train/action_required/img053.png,action_required,action_required,0.297827,0.702173
data/stage2/train/action_required/img060.png,action_required,action_required,0.314647,0.685353
data/stage2/train/action_required/img061.png,action_required,action_required,0.335291,0.664709
data/stage2/train/action_required/img064.png,action_required,action_required,0.276845,0.723155
data/stage2/train/action_required/img066.png,action_required,action_required,0.156916,0.843084
data/stage2/train/action_required/img068.png,action_required,action_required,0.210338,0.789662
data/stage2/train/action_required/img069.png,action_required,action_required,0.145666,0.854334
data/stage2/train/action_required/img070.png,action_required,action_required,0.133054,0.866946
data/stage2/train/action_required/img071.png,action_required,action_required,0.215684,0.784316
data/stage2/train/action_required/img075.png,action_required,action_required,0.088894,0.911106
data/stage2/train/action_required/img076.png,action_required,action_required,0.096584,0.903416
data/stage2/train/action_required/img077.png,action_required,action_required,0.160233,0.839767
data/stage2/train/action_required/img078.png,action_required,action_required,0.487156,0.512844
data/stage2/train/action_required/img079.png,action_required,action_required,0.437499,0.562501
data/stage2/train/action_required/img080.png,action_required,no_action,0.521122,0.478878
data/stage2/train/action_required/img084.png,action_required,action_required,0.431585,0.568415
data/stage2/train/action_required/img085.png,action_required,no_action,0.790204,0.209796
